CMDLINE C:\ProgramData\anaconda3\envs\torch_env\python.exe main_googlenet.py
MEM 1.304688 1714209046.6004
MEM 22.964844 1714209046.7036
MEM 29.078125 1714209046.8059
MEM 39.777344 1714209046.9083
MEM 52.011719 1714209047.0131
MEM 61.351562 1714209047.1166
MEM 71.023438 1714209047.2224
MEM 82.937500 1714209047.3246
MEM 93.515625 1714209047.4314
MEM 101.843750 1714209047.5356
MEM 110.039062 1714209047.6406
MEM 121.414062 1714209047.7443
MEM 131.335938 1714209047.8467
MEM 141.179688 1714209047.9520
MEM 146.667969 1714209048.0547
MEM 154.277344 1714209048.1579
MEM 165.921875 1714209048.2614
MEM 181.503906 1714209048.3636
MEM 189.332031 1714209048.4659
MEM 200.281250 1714209048.5681
MEM 216.738281 1714209048.6709
MEM 222.046875 1714209048.7741
MEM 226.988281 1714209048.8772
MEM 231.621094 1714209048.9799
MEM 239.054688 1714209049.0829
MEM 247.589844 1714209049.1852
MEM 251.578125 1714209049.2880
MEM 254.507812 1714209049.3904
MEM 258.304688 1714209049.4934
MEM 262.402344 1714209049.5960
MEM 266.765625 1714209049.6992
MEM 272.812500 1714209049.8022
MEM 280.328125 1714209049.9046
MEM 287.652344 1714209050.0075
MEM 292.976562 1714209050.1107
MEM 296.980469 1714209050.2137
MEM 302.605469 1714209050.3167
MEM 308.503906 1714209050.4191
MEM 315.523438 1714209050.5221
MEM 320.679688 1714209050.6243
MEM 323.703125 1714209050.7266
MEM 326.343750 1714209050.8290
MEM 330.222656 1714209050.9313
MEM 334.859375 1714209051.0335
MEM 341.175781 1714209051.1361
MEM 348.691406 1714209051.2384
MEM 354.726562 1714209051.3407
MEM 360.671875 1714209051.4426
MEM 364.453125 1714209051.5463
MEM 366.929688 1714209051.6486
MEM 371.042969 1714209051.7516
MEM 373.863281 1714209051.8540
MEM 377.917969 1714209051.9569
MEM 382.667969 1714209052.0601
MEM 385.683594 1714209052.1664
MEM 389.886719 1714209052.2700
MEM 395.917969 1714209052.3723
MEM 403.246094 1714209052.4750
MEM 407.710938 1714209052.5776
MEM 411.394531 1714209052.6804
MEM 413.972656 1714209052.7827
MEM 415.449219 1714209052.8848
MEM 418.996094 1714209052.9870
MEM 422.761719 1714209053.0901
MEM 456.710938 1714209053.2144
MEM 455.085938 1714209053.3442
MEM 454.335938 1714209053.5120
MEM 469.808594 1714209053.6536
MEM 473.863281 1714209053.7953
MEM 475.691406 1714209053.9369
MEM 477.738281 1714209054.0696
MEM 469.714844 1714209054.1831
MEM 478.957031 1714209054.3149
MEM 485.417969 1714209054.4493
MEM 487.738281 1714209054.5971
MEM 491.250000 1714209054.7268
MEM 495.535156 1714209054.8839
MEM 497.617188 1714209055.0539
MEM 492.183594 1714209055.2035
MEM 499.503906 1714209055.3422
MEM 498.132812 1714209055.4751
MEM 499.257812 1714209055.5906
MEM 494.160156 1714209055.7156
MEM 503.410156 1714209055.8506
MEM 501.632812 1714209055.9935
MEM 502.875000 1714209056.1322
MEM 507.980469 1714209056.2456
MEM 511.312500 1714209056.3852
MEM 519.000000 1714209056.5186
MEM 522.726562 1714209056.6405
MEM 518.816406 1714209056.7706
MEM 525.800781 1714209056.9213
MEM 528.746094 1714209057.0700
MEM 526.722656 1714209057.2013
MEM 533.343750 1714209057.3196
MEM 529.945312 1714209057.4577
MEM 537.062500 1714209057.5964
MEM 538.765625 1714209057.7416
MEM 543.371094 1714209057.8737
MEM 539.359375 1714209058.0083
MEM 550.109375 1714209058.1643
MEM 549.457031 1714209058.3298
MEM 554.945312 1714209058.4967
MEM 553.101562 1714209058.6781
MEM 548.375000 1714209058.8271
MEM 553.757812 1714209059.0669
MEM 558.554688 1714209059.1932
MEM 557.707031 1714209059.3308
MEM 557.652344 1714209059.4679
MEM 575.777344 1714209059.6092
MEM 568.214844 1714209059.7756
MEM 546.949219 1714209059.9191
MEM 566.464844 1714209060.0923
MEM 570.753906 1714209060.2390
MEM 570.957031 1714209060.3824
MEM 572.367188 1714209060.5203
MEM 578.769531 1714209060.6654
