CMDLINE C:\ProgramData\anaconda3\envs\torch_env\python.exe main_googlenet.py
MEM 1.367188 1712768487.8224
MEM 23.117188 1712768487.9260
MEM 141.660156 1712768488.0284
MEM 167.566406 1712768488.1314
MEM 185.285156 1712768488.2336
MEM 196.062500 1712768488.3360
MEM 228.164062 1712768488.4393
MEM 248.195312 1712768488.5427
MEM 255.027344 1712768488.6451
MEM 263.015625 1712768488.7474
MEM 272.261719 1712768488.8498
MEM 287.609375 1712768488.9532
MEM 296.617188 1712768489.0566
MEM 306.890625 1712768489.1596
MEM 315.429688 1712768489.2622
MEM 322.675781 1712768489.3655
MEM 328.554688 1712768489.4689
MEM 335.660156 1712768489.5718
MEM 349.832031 1712768489.6741
MEM 362.406250 1712768489.7766
MEM 374.156250 1712768489.8790
MEM 383.367188 1712768489.9819
MEM 391.207031 1712768490.0847
MEM 402.527344 1712768490.1877
MEM 408.519531 1712768490.2940
MEM 411.867188 1712768490.3963
MEM 419.628906 1712768490.4990
MEM 423.640625 1712768490.6014
MEM 443.734375 1712768490.7779
MEM 464.082031 1712768490.9141
MEM 465.046875 1712768491.0486
MEM 466.652344 1712768491.1821
MEM 468.570312 1712768491.3199
MEM 481.460938 1712768491.4591
MEM 480.902344 1712768491.6007
MEM 482.398438 1712768491.7254
MEM 491.484375 1712768491.8635
MEM 492.074219 1712768492.0115
MEM 486.070312 1712768492.1410
MEM 488.601562 1712768492.2678
MEM 503.429688 1712768492.4215
MEM 500.230469 1712768492.5554
MEM 491.937500 1712768492.6888
MEM 500.890625 1712768492.8155
MEM 496.167969 1712768492.9333
MEM 489.902344 1712768493.0639
MEM 505.687500 1712768493.1983
MEM 504.847656 1712768493.3398
MEM 512.660156 1712768493.4872
MEM 519.136719 1712768493.6191
MEM 520.496094 1712768493.7448
MEM 505.441406 1712768493.8656
MEM 517.859375 1712768494.0021
MEM 529.253906 1712768494.1235
MEM 529.578125 1712768494.2544
MEM 524.480469 1712768494.3880
MEM 532.906250 1712768494.5462
MEM 532.207031 1712768494.6756
MEM 534.566406 1712768494.8167
MEM 544.277344 1712768494.9432
MEM 533.257812 1712768495.0893
MEM 541.070312 1712768495.2301
MEM 535.882812 1712768495.3678
MEM 541.691406 1712768495.5062
MEM 535.046875 1712768495.6308
MEM 555.667969 1712768495.7637
MEM 545.265625 1712768495.9053
MEM 544.292969 1712768496.0306
MEM 548.140625 1712768496.1505
MEM 561.527344 1712768496.2835
MEM 568.429688 1712768496.4101
MEM 563.062500 1712768496.5466
MEM 569.113281 1712768496.6827
MEM 567.062500 1712768496.8352
MEM 575.230469 1712768496.9690
MEM 567.765625 1712768497.1195
MEM 577.003906 1712768497.2570
MEM 577.164062 1712768497.3815
MEM 571.160156 1712768497.5268
MEM 580.082031 1712768497.6392
MEM 576.507812 1712768497.7742
MEM 583.238281 1712768497.9214
MEM 581.445312 1712768498.0387
MEM 591.617188 1712768498.1808
MEM 584.914062 1712768498.3271
MEM 588.527344 1712768498.4578
MEM 593.210938 1712768498.6087
MEM 600.953125 1712768498.7354
MEM 609.687500 1712768498.8676
MEM 601.000000 1712768499.0004
MEM 602.207031 1712768499.1249
MEM 615.089844 1712768499.2727
MEM 606.308594 1712768499.4251
MEM 611.109375 1712768499.5619
MEM 611.550781 1712768499.7154
MEM 624.726562 1712768499.8650
MEM 620.726562 1712768499.9953
MEM 621.953125 1712768500.1414
MEM 625.394531 1712768500.2837
MEM 630.843750 1712768500.4188
MEM 637.308594 1712768500.5621
MEM 637.199219 1712768500.7070
MEM 647.886719 1712768500.8162
MEM 649.761719 1712768500.9339
MEM 642.281250 1712768501.0791
MEM 637.953125 1712768501.2129
MEM 643.656250 1712768501.3567
MEM 646.929688 1712768501.4739
MEM 647.027344 1712768501.6048
MEM 650.496094 1712768501.7240
MEM 640.046875 1712768501.8360
MEM 655.250000 1712768501.9462
MEM 646.324219 1712768502.0938
MEM 638.792969 1712768502.2201
MEM 649.265625 1712768502.3398
MEM 656.925781 1712768502.4841
MEM 662.101562 1712768502.6094
MEM 661.011719 1712768502.7280
MEM 666.570312 1712768502.8651
MEM 668.437500 1712768502.9842
MEM 671.648438 1712768503.1487
MEM 677.878906 1712768503.2791
MEM 677.710938 1712768503.4214
MEM 682.937500 1712768503.5571
MEM 679.691406 1712768503.7000
MEM 680.347656 1712768503.8488
MEM 693.222656 1712768503.9950
MEM 685.519531 1712768504.1268
MEM 685.363281 1712768504.2672
MEM 697.675781 1712768504.3973
MEM 688.597656 1712768504.5540
MEM 695.851562 1712768504.6867
MEM 695.179688 1712768504.8114
MEM 698.957031 1712768504.9455
MEM 698.617188 1712768505.1040
MEM 714.777344 1712768505.2365
MEM 711.031250 1712768505.3810
MEM 710.238281 1712768505.5023
MEM 726.988281 1712768505.6344
MEM 717.996094 1712768505.7641
MEM 719.328125 1712768505.8768
MEM 719.273438 1712768506.0060
MEM 716.031250 1712768506.1290
MEM 721.972656 1712768506.2407
MEM 727.664062 1712768506.3539
MEM 733.812500 1712768506.5285
MEM 726.218750 1712768506.6776
MEM 721.433594 1712768506.8330
MEM 721.000000 1712768506.9972
MEM 725.492188 1712768507.1416
MEM 733.835938 1712768507.2875
MEM 734.386719 1712768507.4487
MEM 737.875000 1712768507.6218
MEM 718.636719 1712768507.8072
MEM 727.925781 1712768507.9161
MEM 734.328125 1712768508.0272
MEM 733.960938 1712768508.1688
MEM 745.625000 1712768508.3118
MEM 751.917969 1712768508.4688
MEM 746.789062 1712768508.6050
MEM 758.980469 1712768508.7456
MEM 756.238281 1712768508.8888
MEM 756.539062 1712768509.0199
MEM 761.152344 1712768509.1448
MEM 760.472656 1712768509.3163
MEM 756.558594 1712768509.4344
MEM 747.992188 1712768509.5641
MEM 760.207031 1712768509.6823
MEM 768.402344 1712768509.8008
MEM 768.597656 1712768509.9156
MEM 768.949219 1712768510.0759
MEM 774.957031 1712768510.1907
MEM 773.609375 1712768510.3247
MEM 776.312500 1712768510.4533
MEM 774.242188 1712768510.5755
MEM 781.281250 1712768510.7153
MEM 784.277344 1712768510.8444
MEM 773.468750 1712768510.9934
MEM 785.964844 1712768511.1155
MEM 792.343750 1712768511.2357
MEM 789.125000 1712768511.3424
MEM 795.589844 1712768511.4600
MEM 795.070312 1712768511.5781
MEM 806.824219 1712768511.7060
MEM 802.570312 1712768511.8196
MEM 803.960938 1712768511.9258
MEM 803.195312 1712768512.0391
MEM 818.523438 1712768512.1628
MEM 809.484375 1712768512.3015
MEM 812.710938 1712768512.4140
MEM 816.058594 1712768512.5333
MEM 806.511719 1712768512.6514
MEM 816.628906 1712768512.7646
MEM 807.070312 1712768512.8981
MEM 819.156250 1712768513.0252
MEM 826.417969 1712768513.1653
MEM 824.660156 1712768513.2874
MEM 833.593750 1712768513.4058
MEM 820.394531 1712768513.5300
MEM 836.300781 1712768513.6485
MEM 836.429688 1712768513.7698
MEM 842.566406 1712768513.8983
MEM 830.546875 1712768514.0316
MEM 832.457031 1712768514.1667
MEM 844.019531 1712768514.3140
MEM 847.078125 1712768514.4241
MEM 850.476562 1712768514.5329
MEM 848.839844 1712768514.6597
MEM 846.730469 1712768514.8010
MEM 848.992188 1712768514.9266
MEM 869.218750 1712768515.0455
MEM 859.660156 1712768515.1690
MEM 858.792969 1712768515.2817
MEM 865.914062 1712768515.3880
MEM 859.750000 1712768515.5099
MEM 867.210938 1712768515.6625
MEM 865.300781 1712768515.7689
MEM 865.210938 1712768515.9014
MEM 872.363281 1712768516.0140
MEM 874.609375 1712768516.1555
MEM 875.652344 1712768516.2633
MEM 872.621094 1712768516.4050
MEM 883.308594 1712768516.5334
MEM 878.015625 1712768516.6417
MEM 885.410156 1712768516.7564
MEM 893.375000 1712768516.8710
MEM 888.398438 1712768516.9761
MEM 887.058594 1712768517.1180
MEM 890.613281 1712768517.2378
MEM 903.125000 1712768517.3516
MEM 894.597656 1712768517.4909
MEM 924.882812 1712768517.5938
MEM 888.628906 1712768517.7023
MEM 904.882812 1712768517.8411
MEM 900.445312 1712768517.9619
MEM 904.757812 1712768518.0935
MEM 895.808594 1712768518.2302
MEM 915.949219 1712768518.3553
MEM 915.320312 1712768518.5203
MEM 923.156250 1712768518.6705
MEM 918.125000 1712768518.8019
MEM 924.234375 1712768518.9435
MEM 922.984375 1712768519.0971
MEM 911.070312 1712768519.2321
MEM 925.734375 1712768519.3667
MEM 921.359375 1712768519.4921
MEM 923.726562 1712768519.6247
MEM 930.664062 1712768519.7443
MEM 939.753906 1712768519.8672
MEM 941.937500 1712768519.9841
MEM 938.203125 1712768520.1200
MEM 930.968750 1712768520.2672
MEM 940.523438 1712768520.3940
MEM 931.062500 1712768520.5301
MEM 941.851562 1712768520.6530
MEM 947.003906 1712768520.7592
MEM 952.398438 1712768520.8847
MEM 942.085938 1712768520.9946
MEM 946.664062 1712768521.1444
MEM 947.957031 1712768521.2804
MEM 951.796875 1712768521.3993
MEM 957.218750 1712768521.5310
MEM 944.792969 1712768521.6536
MEM 959.261719 1712768521.7786
MEM 954.058594 1712768521.8952
MEM 955.707031 1712768522.0129
MEM 968.316406 1712768522.1254
MEM 966.441406 1712768522.2608
MEM 971.707031 1712768522.4134
MEM 975.160156 1712768522.5393
MEM 969.132812 1712768522.6469
MEM 976.007812 1712768522.7610
MEM 982.070312 1712768522.8712
MEM 981.832031 1712768522.9997
MEM 981.500000 1712768523.1164
MEM 980.152344 1712768523.2436
MEM 976.640625 1712768523.3569
MEM 985.437500 1712768523.4700
MEM 996.511719 1712768523.5940
MEM 990.187500 1712768523.7052
MEM 990.464844 1712768523.8389
MEM 992.480469 1712768523.9443
MEM 1000.765625 1712768524.0589
MEM 999.757812 1712768524.1713
MEM 994.468750 1712768524.2848
MEM 996.261719 1712768524.4141
MEM 994.589844 1712768524.5246
MEM 1003.457031 1712768524.6528
MEM 1002.445312 1712768524.7589
MEM 1007.355469 1712768524.8679
MEM 1012.609375 1712768525.0023
MEM 1008.398438 1712768525.1172
MEM 1006.398438 1712768525.2331
MEM 1015.929688 1712768525.3680
MEM 1014.601562 1712768525.4878
MEM 1015.039062 1712768525.6002
MEM 1011.769531 1712768525.7044
MEM 1012.378906 1712768525.8189
MEM 1020.585938 1712768525.9272
MEM 1030.597656 1712768526.1057
MEM 1027.210938 1712768526.2196
MEM 1033.703125 1712768526.3378
MEM 1025.582031 1712768526.4553
MEM 1035.863281 1712768526.5616
MEM 1034.238281 1712768526.6853
MEM 1032.039062 1712768526.7978
MEM 1038.218750 1712768526.9108
MEM 1046.363281 1712768527.0329
MEM 1040.859375 1712768527.1829
MEM 1045.667969 1712768527.3013
MEM 1035.332031 1712768527.4179
MEM 1051.164062 1712768527.5269
MEM 1047.496094 1712768527.6343
MEM 1046.707031 1712768527.7378
MEM 1047.199219 1712768527.8614
MEM 1057.601562 1712768527.9677
MEM 1056.050781 1712768528.0745
MEM 1061.035156 1712768528.1847
MEM 1057.078125 1712768528.2948
MEM 1065.582031 1712768528.4364
MEM 1059.117188 1712768528.5540
MEM 1063.636719 1712768528.6760
MEM 1056.410156 1712768528.7844
MEM 1067.074219 1712768528.8894
MEM 1062.453125 1712768529.0051
MEM 1073.382812 1712768529.1139
MEM 1056.824219 1712768529.2226
MEM 1077.074219 1712768529.3366
MEM 1059.632812 1712768529.4587
MEM 1070.625000 1712768529.5756
MEM 1080.972656 1712768529.6849
MEM 1079.890625 1712768529.8034
MEM 1086.429688 1712768529.9117
MEM 1085.578125 1712768530.0181
MEM 1088.414062 1712768530.1223
MEM 1080.382812 1712768530.2312
MEM 1087.820312 1712768530.3366
MEM 1093.980469 1712768530.4414
MEM 1087.777344 1712768530.5510
MEM 1096.925781 1712768530.6547
MEM 1092.238281 1712768530.7655
MEM 1090.316406 1712768530.8716
MEM 1101.273438 1712768530.9835
MEM 1094.074219 1712768531.0909
MEM 1098.609375 1712768531.2016
MEM 1095.750000 1712768531.3065
MEM 1103.359375 1712768531.4265
MEM 1104.402344 1712768531.5345
MEM 1104.480469 1712768531.6412
MEM 1108.183594 1712768531.7535
MEM 1111.628906 1712768531.8641
MEM 1113.167969 1712768531.9708
