CMDLINE C:\ProgramData\anaconda3\envs\torch_env\python.exe main_googlenet.py
MEM 1.328125 1714387771.6314
MEM 22.855469 1714387771.7344
MEM 151.035156 1714387771.8374
MEM 172.933594 1714387771.9402
MEM 186.125000 1714387772.0426
MEM 199.277344 1714387772.1454
MEM 222.562500 1714387772.2481
MEM 239.917969 1714387772.3510
MEM 252.832031 1714387772.4537
MEM 259.808594 1714387772.5565
MEM 265.976562 1714387772.6592
MEM 277.757812 1714387772.7619
MEM 289.062500 1714387772.8646
MEM 298.363281 1714387772.9674
MEM 308.429688 1714387773.0701
MEM 315.570312 1714387773.1728
MEM 323.062500 1714387773.2755
MEM 328.117188 1714387773.3783
MEM 338.824219 1714387773.4810
MEM 350.972656 1714387773.5837
MEM 364.464844 1714387773.6864
MEM 373.601562 1714387773.7892
MEM 383.304688 1714387773.8919
MEM 390.613281 1714387773.9946
MEM 402.230469 1714387774.0970
MEM 409.171875 1714387774.1997
MEM 415.808594 1714387774.3024
MEM 421.257812 1714387774.4052
MEM 424.617188 1714387774.5079
MEM 447.484375 1714387774.6522
MEM 458.761719 1714387774.8028
MEM 469.777344 1714387774.9434
MEM 472.277344 1714387775.0801
MEM 471.824219 1714387775.2107
MEM 480.824219 1714387775.3623
MEM 485.167969 1714387775.4900
MEM 483.281250 1714387775.6356
MEM 489.628906 1714387775.7652
MEM 493.515625 1714387775.8969
MEM 489.394531 1714387776.0395
MEM 488.929688 1714387776.1771
MEM 494.722656 1714387776.3337
MEM 492.738281 1714387776.4963
MEM 488.699219 1714387776.6269
MEM 507.789062 1714387776.7626
MEM 501.179688 1714387776.9172
MEM 509.867188 1714387777.0488
MEM 508.562500 1714387777.1901
MEM 512.667969 1714387777.3387
MEM 510.410156 1714387777.4723
MEM 522.960938 1714387777.6119
MEM 509.238281 1714387777.7496
MEM 519.316406 1714387777.8972
MEM 511.847656 1714387778.0308
MEM 522.480469 1714387778.1605
MEM 521.199219 1714387778.3021
MEM 528.355469 1714387778.4467
MEM 538.367188 1714387778.5873
MEM 538.253906 1714387778.7250
MEM 547.601562 1714387778.8706
MEM 548.656250 1714387779.0381
MEM 553.792969 1714387779.1718
MEM 546.703125 1714387779.3004
MEM 551.652344 1714387779.4690
MEM 545.980469 1714387779.6066
MEM 549.988281 1714387779.7532
MEM 559.500000 1714387779.8948
MEM 561.789062 1714387780.0396
MEM 557.433594 1714387780.1772
MEM 559.503906 1714387780.3178
MEM 553.773438 1714387780.4544
MEM 573.503906 1714387780.5930
MEM 571.050781 1714387780.7317
MEM 577.300781 1714387780.8683
MEM 582.183594 1714387781.0000
