CMDLINE C:\ProgramData\anaconda3\envs\torch_env\python.exe main_googlenet.py
MEM 1.562500 1712647560.3500
MEM 22.828125 1712647560.4527
MEM 150.613281 1712647560.5556
MEM 172.484375 1712647560.6584
MEM 186.414062 1712647560.7611
MEM 198.898438 1712647560.8638
MEM 229.250000 1712647560.9671
MEM 248.957031 1712647561.0698
MEM 255.371094 1712647561.1725
MEM 262.832031 1712647561.2753
MEM 268.835938 1712647561.3780
MEM 281.589844 1712647561.4817
MEM 292.359375 1712647561.5845
MEM 302.988281 1712647561.6872
MEM 311.816406 1712647561.7899
MEM 318.679688 1712647561.8926
MEM 326.003906 1712647561.9953
MEM 330.089844 1712647562.0987
MEM 341.601562 1712647562.2015
MEM 352.671875 1712647562.3042
MEM 365.707031 1712647562.4069
MEM 374.078125 1712647562.5103
MEM 383.085938 1712647562.6130
MEM 390.667969 1712647562.7157
MEM 401.988281 1712647562.8184
MEM 407.671875 1712647562.9212
MEM 411.800781 1712647563.0239
MEM 419.156250 1712647563.1271
MEM 423.070312 1712647563.2305
MEM 448.035156 1712647563.3641
MEM 455.949219 1712647563.5027
MEM 463.367188 1712647563.6422
MEM 469.625000 1712647563.7807
MEM 468.156250 1712647563.9157
MEM 476.976562 1712647564.0615
MEM 475.808594 1712647564.1962
MEM 470.574219 1712647564.3069
MEM 482.226562 1712647564.4235
MEM 490.781250 1712647564.5542
MEM 486.976562 1712647564.6888
MEM 489.996094 1712647564.8225
MEM 488.257812 1712647564.9661
MEM 492.171875 1712647565.1147
MEM 505.613281 1712647565.2463
MEM 504.929688 1712647565.3790
MEM 505.742188 1712647565.5236
MEM 506.933594 1712647565.6582
MEM 504.375000 1712647565.7929
MEM 495.414062 1712647565.9399
MEM 501.503906 1712647566.0526
MEM 514.597656 1712647566.1833
MEM 509.621094 1712647566.3369
MEM 514.101562 1712647566.4576
MEM 513.113281 1712647566.5820
MEM 521.042969 1712647566.7176
MEM 515.406250 1712647566.8492
MEM 521.707031 1712647566.9859
MEM 535.699219 1712647567.1155
MEM 529.355469 1712647567.2492
MEM 537.679688 1712647567.3928
MEM 524.328125 1712647567.5234
MEM 528.312500 1712647567.6790
MEM 554.769531 1712647567.7847
MEM 535.625000 1712647567.8974
MEM 536.812500 1712647568.0351
MEM 538.394531 1712647568.1757
MEM 547.125000 1712647568.3283
MEM 545.433594 1712647568.4559
MEM 550.375000 1712647568.5856
MEM 549.273438 1712647568.7182
MEM 551.355469 1712647568.8369
MEM 546.937500 1712647568.9745
MEM 551.687500 1712647569.0902
MEM 566.574219 1712647569.2129
MEM 567.226562 1712647569.3635
MEM 560.753906 1712647569.5074
MEM 560.257812 1712647569.6390
MEM 568.433594 1712647569.7817
MEM 581.855469 1712647569.9083
MEM 578.871094 1712647570.0430
MEM 572.234375 1712647570.1866
MEM 582.195312 1712647570.3491
MEM 581.589844 1712647570.4838
MEM 582.976562 1712647570.6204
MEM 601.953125 1712647570.7521
MEM 590.343750 1712647570.8937
MEM 591.707031 1712647571.0562
MEM 603.023438 1712647571.1879
MEM 593.535156 1712647571.3275
MEM 591.433594 1712647571.4681
MEM 600.625000 1712647571.6088
MEM 600.070312 1712647571.7434
MEM 600.093750 1712647571.8950
MEM 597.281250 1712647572.0207
MEM 604.445312 1712647572.1653
MEM 610.679688 1712647572.3169
MEM 609.402344 1712647572.4760
MEM 612.777344 1712647572.5967
MEM 607.820312 1712647572.7403
MEM 619.898438 1712647572.8779
MEM 621.164062 1712647573.0245
MEM 632.843750 1712647573.1642
MEM 649.566406 1712647573.2868
MEM 634.914062 1712647573.4245
MEM 623.304688 1712647573.5451
MEM 626.453125 1712647573.6828
MEM 622.003906 1712647573.8054
MEM 637.882812 1712647573.9318
MEM 636.660156 1712647574.0874
MEM 641.957031 1712647574.2260
MEM 647.324219 1712647574.3586
MEM 646.503906 1712647574.4893
MEM 639.417969 1712647574.6090
MEM 648.933594 1712647574.7217
MEM 652.929688 1712647574.8812
MEM 651.003906 1712647575.0239
MEM 653.156250 1712647575.1735
MEM 665.347656 1712647575.3031
MEM 655.023438 1712647575.4397
MEM 652.367188 1712647575.5777
MEM 666.386719 1712647575.7143
MEM 666.179688 1712647575.8619
MEM 672.769531 1712647575.9752
