CMDLINE C:\ProgramData\anaconda3\envs\torch_env\python.exe main_googlenet.py
MEM 1.554688 1712594288.9741
MEM 23.394531 1712594289.0769
MEM 141.128906 1712594289.1796
MEM 168.820312 1712594289.2823
MEM 185.765625 1712594289.3850
MEM 198.382812 1712594289.4874
MEM 228.976562 1712594289.5904
MEM 249.378906 1712594289.6932
MEM 255.773438 1712594289.7959
MEM 264.339844 1712594289.8996
MEM 273.839844 1712594290.0023
MEM 287.578125 1712594290.1051
MEM 297.250000 1712594290.2078
MEM 308.019531 1712594290.3105
MEM 315.562500 1712594290.4132
MEM 323.648438 1712594290.5160
MEM 328.718750 1712594290.6197
MEM 339.257812 1712594290.7224
MEM 351.601562 1712594290.8251
MEM 365.960938 1712594290.9279
MEM 374.042969 1712594291.0306
MEM 383.773438 1712594291.1333
MEM 393.210938 1712594291.2360
MEM 405.273438 1712594291.3389
MEM 410.343750 1712594291.4417
MEM 417.000000 1712594291.5446
MEM 422.285156 1712594291.6471
MEM 425.335938 1712594291.7501
MEM 452.222656 1712594291.8768
MEM 459.316406 1712594292.0224
MEM 463.984375 1712594292.1790
MEM 466.027344 1712594292.3166
MEM 476.886719 1712594292.4612
MEM 478.636719 1712594292.6019
MEM 478.890625 1712594292.7346
MEM 495.476562 1712594292.8752
MEM 483.039062 1712594293.0208
MEM 496.875000 1712594293.1514
MEM 499.878906 1712594293.2916
MEM 500.296875 1712594293.4333
MEM 503.707031 1712594293.5675
MEM 491.726562 1712594293.6858
MEM 486.457031 1712594293.8005
MEM 503.527344 1712594293.9342
MEM 494.167969 1712594294.0688
MEM 493.773438 1712594294.1955
MEM 495.957031 1712594294.3361
MEM 501.007812 1712594294.4707
MEM 506.433594 1712594294.6642
MEM 509.953125 1712594294.8188
MEM 515.199219 1712594294.9475
MEM 520.093750 1712594295.0921
MEM 524.890625 1712594295.2477
MEM 528.992188 1712594295.3703
MEM 535.808594 1712594295.5119
MEM 532.488281 1712594295.6436
MEM 540.808594 1712594295.7602
MEM 525.335938 1712594295.9198
MEM 543.671875 1712594296.0485
MEM 546.574219 1712594296.1751
MEM 550.957031 1712594296.3158
MEM 549.785156 1712594296.4414
MEM 543.949219 1712594296.5631
MEM 541.519531 1712594296.7047
MEM 546.242188 1712594296.8533
MEM 559.976562 1712594296.9570
MEM 547.468750 1712594297.0987
MEM 551.128906 1712594297.2253
MEM 556.921875 1712594297.3510
MEM 556.597656 1712594297.4876
MEM 556.281250 1712594297.6143
MEM 559.625000 1712594297.7788
MEM 558.925781 1712594297.9853
MEM 566.316406 1712594298.1499
MEM 571.289062 1712594298.2845
MEM 572.972656 1712594298.4137
MEM 584.230469 1712594298.5664
MEM 584.011719 1712594298.7230
MEM 586.812500 1712594298.8616
MEM 588.941406 1712594299.0122
MEM 585.964844 1712594299.1389
MEM 581.726562 1712594299.2825
MEM 587.062500 1712594299.4610
MEM 587.464844 1712594299.6106
MEM 598.664062 1712594299.7672
MEM 601.144531 1712594299.9317
MEM 602.976562 1712594300.0983
MEM 602.582031 1712594300.2389
MEM 608.855469 1712594300.3805
MEM 605.226562 1712594300.5242
MEM 615.101562 1712594300.6897
MEM 624.257812 1712594300.8393
MEM 616.804688 1712594300.9730
MEM 612.964844 1712594301.0906
MEM 613.535156 1712594301.2143
MEM 624.726562 1712594301.3444
MEM 627.429688 1712594301.4940
MEM 626.867188 1712594301.6148
MEM 625.671875 1712594301.7564
MEM 634.671875 1712594301.8921
MEM 627.972656 1712594302.0267
MEM 627.292969 1712594302.1783
MEM 637.656250 1712594302.3169
MEM 647.253906 1712594302.4516
MEM 648.273438 1712594302.5619
MEM 638.171875 1712594302.6815
MEM 641.050781 1712594302.8162
MEM 649.484375 1712594302.9568
MEM 652.828125 1712594303.0825
MEM 645.128906 1712594303.2630
MEM 650.019531 1712594303.4246
MEM 645.359375 1712594303.5672
MEM 656.421875 1712594303.6998
MEM 658.578125 1712594303.8095
MEM 655.777344 1712594303.9372
MEM 659.085938 1712594304.0778
MEM 664.636719 1712594304.2174
MEM 668.363281 1712594304.3401
MEM 668.335938 1712594304.4793
MEM 681.800781 1712594304.6109
MEM 700.847656 1712594304.7406
MEM 676.726562 1712594304.8712
MEM 673.535156 1712594305.0099
MEM 679.722656 1712594305.1724
MEM 691.042969 1712594305.3121
MEM 693.191406 1712594305.4487
MEM 694.640625 1712594305.5784
MEM 681.957031 1712594305.7140
MEM 707.144531 1712594305.8686
MEM 702.546875 1712594306.0052
MEM 695.000000 1712594306.1299
MEM 701.097656 1712594306.2755
MEM 711.441406 1712594306.4251
MEM 716.570312 1712594306.5577
MEM 705.113281 1712594306.6704
MEM 707.269531 1712594306.7881
MEM 713.613281 1712594306.9537
MEM 717.972656 1712594307.1013
MEM 715.976562 1712594307.2249
MEM 714.730469 1712594307.3586
MEM 723.453125 1712594307.4683
MEM 727.750000 1712594307.6189
MEM 730.226562 1712594307.7515
MEM 729.324219 1712594307.8951
MEM 738.351562 1712594308.0248
MEM 730.695312 1712594308.1395
MEM 743.160156 1712594308.2761
MEM 738.152344 1712594308.4071
MEM 743.375000 1712594308.5448
MEM 741.531250 1712594308.6505
MEM 743.468750 1712594308.7991
MEM 746.457031 1712594308.9208
MEM 752.585938 1712594309.0444
MEM 756.945312 1712594309.1811
MEM 759.597656 1712594309.2968
MEM 764.585938 1712594309.4414
MEM 769.164062 1712594309.5630
MEM 758.234375 1712594309.6957
MEM 774.558594 1712594309.8124
MEM 767.886719 1712594309.9500
MEM 765.820312 1712594310.0647
MEM 764.226562 1712594310.2013
MEM 764.437500 1712594310.3350
MEM 776.476562 1712594310.4934
MEM 768.839844 1712594310.6260
MEM 781.320312 1712594310.7467
MEM 778.750000 1712594310.8813
MEM 781.355469 1712594311.0040
MEM 783.046875 1712594311.1287
MEM 785.179688 1712594311.2344
MEM 789.910156 1712594311.3546
MEM 792.656250 1712594311.4703
MEM 797.960938 1712594311.6049
MEM 801.214844 1712594311.7216
MEM 797.835938 1712594311.8413
MEM 798.359375 1712594311.9480
MEM 793.664062 1712594312.0547
MEM 789.917969 1712594312.1595
MEM 788.222656 1712594312.2652
MEM 787.136719 1712594312.3689
MEM 787.464844 1712594312.4746
MEM 784.140625 1712594312.5793
MEM 781.320312 1712594312.6821
MEM 792.894531 1712594312.7908
MEM 800.378906 1712594312.8975
MEM 807.730469 1712594313.0182
MEM 806.531250 1712594313.1538
MEM 804.011719 1712594313.3104
MEM 808.730469 1712594313.4201
MEM 815.085938 1712594313.5361
MEM 824.691406 1712594313.6867
MEM 832.539062 1712594313.8183
MEM 825.785156 1712594313.9410
MEM 824.800781 1712594314.0727
MEM 822.953125 1712594314.2133
MEM 824.804688 1712594314.3310
MEM 831.406250 1712594314.4507
MEM 830.363281 1712594314.5793
MEM 834.671875 1712594314.6920
MEM 829.835938 1712594314.8127
MEM 844.339844 1712594314.9613
MEM 850.320312 1712594315.0750
MEM 829.117188 1712594315.2027
MEM 841.289062 1712594315.3323
MEM 854.449219 1712594315.4849
MEM 842.128906 1712594315.6176
MEM 860.320312 1712594315.7522
MEM 851.972656 1712594315.8808
MEM 854.816406 1712594315.9906
MEM 867.058594 1712594316.1132
MEM 861.941406 1712594316.2399
MEM 865.125000 1712594316.3476
MEM 869.292969 1712594316.4683
MEM 868.511719 1712594316.6093
MEM 860.984375 1712594316.7131
MEM 858.746094 1712594316.8178
MEM 934.539062 1712594316.9225
MEM 1157.660156 1712594317.0262
MEM 1157.664062 1712594317.1290
MEM 1157.664062 1712594317.2317
MEM 1157.664062 1712594317.3344
MEM 1158.039062 1712594317.4371
MEM 1158.539062 1712594317.5399
MEM 868.484375 1712594317.6426
MEM 1074.066406 1712594317.7453
MEM 1278.179688 1712594317.8480
MEM 1477.789062 1712594317.9518
MEM 1684.289062 1712594318.0545
MEM 1890.363281 1712594318.1572
MEM 2096.695312 1712594318.2599
MEM 2287.789062 1712594318.3626
MEM 2480.882812 1712594318.4664
MEM 2672.242188 1712594318.5691
MEM 2967.730469 1712594318.6728
MEM 3413.296875 1712594318.7755
MEM 3847.515625 1712594318.8793
MEM 4196.921875 1712594318.9830
MEM 4609.410156 1712594319.0877
MEM 3814.730469 1712594319.1905
MEM 2794.679688 1712594319.2932
MEM 3178.164062 1712594319.3989
MEM 3678.007812 1712594319.5012
MEM 2300.007812 1712594319.6039
MEM 1767.910156 1712594319.7086
MEM 1768.156250 1712594319.8113
MEM 1768.156250 1712594319.9150
MEM 1768.156250 1712594320.0188
MEM 1768.156250 1712594320.1215
MEM 1768.156250 1712594320.2242
MEM 1768.156250 1712594320.3269
MEM 1768.156250 1712594320.4297
MEM 1768.156250 1712594320.5324
MEM 1768.156250 1712594320.6351
MEM 1768.156250 1712594320.7378
MEM 2367.292969 1712594320.8446
MEM 2725.621094 1712594320.9553
MEM 2454.070312 1712594321.0590
MEM 1831.339844 1712594321.1637
MEM 1785.675781 1712594321.2664
MEM 1995.445312 1712594321.3697
MEM 2302.230469 1712594321.4725
MEM 2312.792969 1712594321.5782
MEM 1958.074219 1712594321.6819
MEM 1958.074219 1712594321.7856
MEM 2149.484375 1712594321.8933
MEM 2019.296875 1712594321.9961
MEM 2044.761719 1712594322.0988
MEM 2044.761719 1712594322.2035
MEM 1633.085938 1712594322.3062
MEM 965.160156 1712594322.4090
MEM 922.421875 1712594322.5118
MEM 1020.707031 1712594322.6155
MEM 1154.937500 1712594322.7182
MEM 1262.546875 1712594322.8210
MEM 1372.332031 1712594322.9237
MEM 1500.519531 1712594323.0264
MEM 1611.527344 1712594323.1292
MEM 1725.757812 1712594323.2319
MEM 1871.000000 1712594323.3346
MEM 1974.796875 1712594323.4373
MEM 2089.421875 1712594323.5401
MEM 2198.820312 1712594323.6428
MEM 2323.511719 1712594323.7455
MEM 2451.296875 1712594323.8482
MEM 2571.171875 1712594323.9509
MEM 2704.492188 1712594324.0537
MEM 2831.812500 1712594324.1564
MEM 2969.613281 1712594324.2591
MEM 3077.769531 1712594324.3619
MEM 3180.265625 1712594324.4646
MEM 3258.746094 1712594324.5673
MEM 3394.875000 1712594324.6700
MEM 3470.285156 1712594324.7728
MEM 3595.667969 1712594324.8755
MEM 3673.460938 1712594324.9782
MEM 3803.699219 1712594325.0809
MEM 3892.726562 1712594325.1846
MEM 3922.734375 1712594325.2874
MEM 3969.480469 1712594325.3901
MEM 4059.878906 1712594325.4929
MEM 4077.781250 1712594325.5957
MEM 4083.425781 1712594325.6984
MEM 4083.480469 1712594325.8011
MEM 4083.480469 1712594325.9039
MEM 4083.484375 1712594326.0066
MEM 4083.484375 1712594326.1093
MEM 4083.484375 1712594326.2120
MEM 4083.488281 1712594326.3148
MEM 4083.488281 1712594326.4175
MEM 4083.488281 1712594326.5202
MEM 4083.488281 1712594326.6229
MEM 4083.488281 1712594326.7257
MEM 4083.488281 1712594326.8284
MEM 4083.488281 1712594326.9321
MEM 4083.488281 1712594327.0348
MEM 4083.488281 1712594327.1375
MEM 4083.488281 1712594327.2403
MEM 4083.488281 1712594327.3430
MEM 4083.488281 1712594327.4457
MEM 4083.488281 1712594327.5484
MEM 4083.488281 1712594327.6512
MEM 4083.488281 1712594327.7539
MEM 4083.488281 1712594327.8566
MEM 4083.492188 1712594327.9594
MEM 4083.492188 1712594328.0621
MEM 4083.492188 1712594328.1648
MEM 4083.492188 1712594328.2675
MEM 4083.492188 1712594328.3712
MEM 4083.492188 1712594328.4736
MEM 4083.492188 1712594328.5763
MEM 4083.492188 1712594328.6790
MEM 4083.492188 1712594328.7817
MEM 4083.492188 1712594328.8845
MEM 4083.492188 1712594328.9874
MEM 4083.492188 1712594329.0901
MEM 4083.492188 1712594329.1928
MEM 4083.492188 1712594329.2956
MEM 4083.492188 1712594329.3983
MEM 4083.492188 1712594329.5010
MEM 4083.492188 1712594329.6037
MEM 4083.492188 1712594329.7065
MEM 4083.492188 1712594329.8092
MEM 4083.492188 1712594329.9119
MEM 4083.492188 1712594330.0146
MEM 4083.492188 1712594330.1174
MEM 4083.492188 1712594330.2201
MEM 4083.492188 1712594330.3228
MEM 4083.492188 1712594330.4255
MEM 4083.492188 1712594330.5282
MEM 4083.492188 1712594330.6310
MEM 4083.492188 1712594330.7337
MEM 4083.492188 1712594330.8364
MEM 4083.492188 1712594330.9391
MEM 4083.492188 1712594331.0419
MEM 4083.492188 1712594331.1446
MEM 4083.492188 1712594331.2473
MEM 4083.492188 1712594331.3497
MEM 4083.492188 1712594331.4524
MEM 4083.492188 1712594331.5548
MEM 4083.492188 1712594331.6576
MEM 4083.492188 1712594331.7603
MEM 4083.492188 1712594331.8630
MEM 4083.492188 1712594331.9657
MEM 4083.492188 1712594332.0685
MEM 4083.492188 1712594332.1712
MEM 4083.492188 1712594332.2739
MEM 4083.492188 1712594332.3766
MEM 4083.492188 1712594332.4793
MEM 4083.492188 1712594332.5821
MEM 4083.492188 1712594332.6848
MEM 4083.492188 1712594332.7875
MEM 4083.492188 1712594332.8903
MEM 4083.492188 1712594332.9930
MEM 4083.492188 1712594333.0957
MEM 4083.492188 1712594333.1984
MEM 4083.492188 1712594333.3011
MEM 4083.492188 1712594333.4039
MEM 4083.492188 1712594333.5066
MEM 4083.492188 1712594333.6093
MEM 4083.492188 1712594333.7121
MEM 4083.492188 1712594333.8148
MEM 4083.492188 1712594333.9175
MEM 4083.492188 1712594334.0203
MEM 4083.492188 1712594334.1230
MEM 4083.492188 1712594334.2263
MEM 4083.492188 1712594334.3287
MEM 4083.492188 1712594334.4310
MEM 4083.492188 1712594334.5334
MEM 4083.492188 1712594334.6361
MEM 4083.492188 1712594334.7389
MEM 4083.492188 1712594334.8416
MEM 4083.492188 1712594334.9443
MEM 4083.492188 1712594335.0470
MEM 4083.492188 1712594335.1502
MEM 4083.492188 1712594335.2529
MEM 4083.492188 1712594335.3556
MEM 4083.492188 1712594335.4583
MEM 4083.492188 1712594335.5611
MEM 4083.550781 1712594335.6638
MEM 4083.550781 1712594335.7665
MEM 4083.550781 1712594335.8692
MEM 4083.550781 1712594335.9720
MEM 4083.550781 1712594336.0747
MEM 4083.550781 1712594336.1774
MEM 4083.550781 1712594336.2801
MEM 4086.882812 1712594336.3829
MEM 4090.425781 1712594336.4856
MEM 4090.937500 1712594336.5886
MEM 4090.937500 1712594336.6913
MEM 4090.937500 1712594336.7940
MEM 4090.937500 1712594336.8968
MEM 4090.937500 1712594336.9995
MEM 4090.937500 1712594337.1022
MEM 4090.937500 1712594337.2049
MEM 4090.937500 1712594337.3076
MEM 4090.937500 1712594337.4104
MEM 4090.937500 1712594337.5128
MEM 4090.937500 1712594337.6155
MEM 4090.937500 1712594337.7183
MEM 4090.937500 1712594337.8209
MEM 4090.937500 1712594337.9237
MEM 4090.937500 1712594338.0264
MEM 4090.937500 1712594338.1291
MEM 4090.937500 1712594338.2319
MEM 4090.937500 1712594338.3346
MEM 4090.937500 1712594338.4373
MEM 4090.937500 1712594338.5400
MEM 4090.937500 1712594338.6428
MEM 4090.937500 1712594338.7455
MEM 4090.937500 1712594338.8482
MEM 4090.937500 1712594338.9510
MEM 4090.937500 1712594339.0539
MEM 4090.937500 1712594339.1566
MEM 4090.937500 1712594339.2593
MEM 4090.937500 1712594339.3621
MEM 4090.937500 1712594339.4648
MEM 4090.937500 1712594339.5675
MEM 4090.937500 1712594339.6702
MEM 4090.937500 1712594339.7740
MEM 4090.937500 1712594339.8767
MEM 4090.937500 1712594339.9794
MEM 4090.937500 1712594340.0821
MEM 4090.941406 1712594340.1849
MEM 4090.941406 1712594340.2876
MEM 4090.941406 1712594340.3903
MEM 4090.941406 1712594340.4927
MEM 4090.941406 1712594340.5954
MEM 4090.941406 1712594340.6981
MEM 4090.941406 1712594340.8009
MEM 4090.941406 1712594340.9036
MEM 4090.941406 1712594341.0063
MEM 4090.941406 1712594341.1090
MEM 4090.941406 1712594341.2118
MEM 4090.941406 1712594341.3145
MEM 4090.941406 1712594341.4168
MEM 4090.941406 1712594341.5195
MEM 4090.941406 1712594341.6223
MEM 4090.941406 1712594341.7250
MEM 4090.941406 1712594341.8277
MEM 4090.941406 1712594341.9304
MEM 4090.941406 1712594342.0332
MEM 4090.941406 1712594342.1359
MEM 4090.941406 1712594342.2386
MEM 4090.941406 1712594342.3414
MEM 4090.941406 1712594342.4441
MEM 4090.941406 1712594342.5465
MEM 4090.941406 1712594342.6492
MEM 4090.941406 1712594342.7519
MEM 4090.941406 1712594342.8546
MEM 4090.941406 1712594342.9573
MEM 4090.941406 1712594343.0600
MEM 4090.941406 1712594343.1627
MEM 4090.941406 1712594343.2655
MEM 4090.941406 1712594343.3682
MEM 4090.941406 1712594343.4715
MEM 4090.941406 1712594343.5747
MEM 4090.941406 1712594343.6775
MEM 4090.941406 1712594343.7802
MEM 4090.941406 1712594343.8829
MEM 4090.941406 1712594343.9856
MEM 4090.941406 1712594344.0884
MEM 4090.941406 1712594344.1911
MEM 4090.941406 1712594344.2938
MEM 4090.945312 1712594344.3965
MEM 4090.945312 1712594344.4994
MEM 4090.945312 1712594344.6021
MEM 4090.945312 1712594344.7049
MEM 4090.945312 1712594344.8076
MEM 4090.945312 1712594344.9103
MEM 4090.945312 1712594345.0130
MEM 4090.945312 1712594345.1157
MEM 4090.945312 1712594345.2185
MEM 4090.945312 1712594345.3212
MEM 4090.945312 1712594345.4239
MEM 4090.945312 1712594345.5267
MEM 4090.945312 1712594345.6290
MEM 4090.945312 1712594345.7317
MEM 4090.945312 1712594345.8345
MEM 4090.945312 1712594345.9372
MEM 4090.945312 1712594346.0399
MEM 4090.945312 1712594346.1426
MEM 4090.945312 1712594346.2454
MEM 4090.945312 1712594346.3481
MEM 4090.945312 1712594346.4508
MEM 4090.945312 1712594346.5532
MEM 4090.945312 1712594346.6559
MEM 4090.945312 1712594346.7586
MEM 4090.945312 1712594346.8613
MEM 4090.945312 1712594346.9641
MEM 4090.945312 1712594347.0668
MEM 4090.945312 1712594347.1695
MEM 4090.945312 1712594347.2723
MEM 4090.945312 1712594347.3747
MEM 4090.945312 1712594347.4775
MEM 4090.945312 1712594347.5802
MEM 4090.945312 1712594347.6829
MEM 4090.945312 1712594347.7856
MEM 4090.945312 1712594347.8884
MEM 4090.945312 1712594347.9911
MEM 4090.945312 1712594348.0938
MEM 4090.945312 1712594348.1965
MEM 4090.945312 1712594348.2993
MEM 4090.945312 1712594348.4020
MEM 4090.945312 1712594348.5047
MEM 4090.945312 1712594348.6074
MEM 4090.945312 1712594348.7102
MEM 4090.945312 1712594348.8129
MEM 4090.945312 1712594348.9156
MEM 4090.902344 1712594349.0188
MEM 4090.902344 1712594349.1225
MEM 4090.902344 1712594349.2252
MEM 4090.902344 1712594349.3279
MEM 4090.902344 1712594349.4307
MEM 4090.902344 1712594349.5339
MEM 4090.902344 1712594349.6367
MEM 4090.902344 1712594349.7394
MEM 4090.902344 1712594349.8426
MEM 4090.902344 1712594349.9454
MEM 4090.902344 1712594350.0481
MEM 4090.902344 1712594350.1509
MEM 4090.902344 1712594350.2536
MEM 4090.902344 1712594350.3563
MEM 4090.902344 1712594350.4590
MEM 4090.902344 1712594350.5618
MEM 4090.902344 1712594350.6645
MEM 4090.902344 1712594350.7672
MEM 4090.902344 1712594350.8699
MEM 4090.902344 1712594350.9727
MEM 4090.902344 1712594351.0754
MEM 4090.902344 1712594351.1781
MEM 4090.902344 1712594351.2808
MEM 4090.902344 1712594351.3833
MEM 4090.902344 1712594351.4860
MEM 4090.902344 1712594351.5887
MEM 4090.902344 1712594351.6914
MEM 4090.902344 1712594351.7942
MEM 4090.902344 1712594351.8969
MEM 4090.902344 1712594351.9996
MEM 4090.902344 1712594352.1023
MEM 4090.902344 1712594352.2051
MEM 4090.902344 1712594352.3077
MEM 4090.902344 1712594352.4105
MEM 4090.902344 1712594352.5138
MEM 4090.902344 1712594352.6166
MEM 4090.902344 1712594352.7193
MEM 4090.902344 1712594352.8220
MEM 4090.902344 1712594352.9247
MEM 4090.902344 1712594353.0275
MEM 4090.902344 1712594353.1302
MEM 4090.902344 1712594353.2329
MEM 4090.902344 1712594353.3356
MEM 4090.902344 1712594353.4384
MEM 4090.902344 1712594353.5411
MEM 4090.902344 1712594353.6438
MEM 4090.902344 1712594353.7465
MEM 4090.902344 1712594353.8493
MEM 4090.902344 1712594353.9520
MEM 4090.902344 1712594354.0547
MEM 4090.902344 1712594354.1575
MEM 4090.902344 1712594354.2602
MEM 4090.902344 1712594354.3629
MEM 4090.902344 1712594354.4656
MEM 4090.902344 1712594354.5683
MEM 4090.902344 1712594354.6711
MEM 4090.902344 1712594354.7738
MEM 4090.902344 1712594354.8765
MEM 4090.902344 1712594354.9792
MEM 4090.902344 1712594355.0819
MEM 4090.902344 1712594355.1846
MEM 4090.902344 1712594355.2874
MEM 4090.902344 1712594355.3901
MEM 4090.902344 1712594355.4925
MEM 4090.902344 1712594355.5952
MEM 4090.902344 1712594355.6979
MEM 4090.902344 1712594355.8007
MEM 4090.902344 1712594355.9034
MEM 4090.902344 1712594356.0061
MEM 4090.902344 1712594356.1088
MEM 4090.902344 1712594356.2116
MEM 4090.902344 1712594356.3143
MEM 4090.902344 1712594356.4170
MEM 4090.902344 1712594356.5197
