CMDLINE C:\ProgramData\anaconda3\envs\torch_env\python.exe main_googlenet.py
MEM 1.296875 1712790943.6723
MEM 22.324219 1712790943.7748
MEM 30.425781 1712790943.8777
MEM 41.425781 1712790943.9801
MEM 54.535156 1712790944.0826
MEM 65.628906 1712790944.1855
MEM 78.828125 1712790944.2887
MEM 90.179688 1712790944.3927
MEM 98.488281 1712790944.4974
MEM 106.800781 1712790944.6026
MEM 123.476562 1712790944.7050
MEM 136.894531 1712790944.8072
MEM 148.035156 1712790944.9100
MEM 161.843750 1712790945.0122
MEM 175.750000 1712790945.1151
MEM 186.496094 1712790945.2183
MEM 196.410156 1712790945.3210
MEM 210.371094 1712790945.4240
MEM 222.289062 1712790945.5271
MEM 234.945312 1712790945.6300
MEM 245.179688 1712790945.7332
MEM 249.875000 1712790945.8367
MEM 253.878906 1712790945.9390
MEM 256.132812 1712790946.0419
MEM 261.769531 1712790946.1445
MEM 265.046875 1712790946.2477
MEM 270.148438 1712790946.3511
MEM 277.007812 1712790946.4536
MEM 284.929688 1712790946.5562
MEM 291.492188 1712790946.6594
MEM 296.585938 1712790946.7622
MEM 302.808594 1712790946.8658
MEM 308.417969 1712790946.9685
MEM 315.171875 1712790947.0717
MEM 320.621094 1712790947.1740
MEM 324.324219 1712790947.2764
MEM 328.167969 1712790947.3792
MEM 332.156250 1712790947.4815
MEM 337.730469 1712790947.5848
MEM 345.375000 1712790947.6875
MEM 351.644531 1712790947.7899
MEM 357.195312 1712790947.8923
MEM 362.984375 1712790947.9951
MEM 367.343750 1712790948.0974
MEM 371.886719 1712790948.2006
MEM 374.906250 1712790948.3036
MEM 378.546875 1712790948.4064
MEM 383.042969 1712790948.5096
MEM 385.859375 1712790948.6128
MEM 390.636719 1712790948.7158
MEM 401.570312 1712790948.8188
MEM 407.335938 1712790948.9220
MEM 412.882812 1712790949.0246
MEM 414.199219 1712790949.1283
MEM 415.640625 1712790949.2314
MEM 419.835938 1712790949.3339
MEM 423.015625 1712790949.4365
MEM 458.417969 1712790949.5419
MEM 453.343750 1712790949.6703
MEM 458.816406 1712790949.8146
MEM 484.378906 1712790949.9280
MEM 475.167969 1712790950.0601
MEM 474.785156 1712790950.1924
MEM 471.597656 1712790950.3257
MEM 481.054688 1712790950.4707
MEM 482.167969 1712790950.6090
MEM 485.730469 1712790950.7317
MEM 497.394531 1712790950.8610
MEM 488.367188 1712790950.9893
MEM 497.562500 1712790951.1374
MEM 495.726562 1712790951.2609
MEM 502.539062 1712790951.3921
MEM 495.027344 1712790951.5243
MEM 494.808594 1712790951.6473
MEM 499.058594 1712790951.7757
MEM 511.414062 1712790951.9306
MEM 502.265625 1712790952.0468
MEM 502.375000 1712790952.1807
MEM 508.636719 1712790952.3121
MEM 506.300781 1712790952.4609
MEM 518.511719 1712790952.5825
MEM 509.789062 1712790952.7157
MEM 515.652344 1712790952.8416
MEM 519.363281 1712790952.9955
MEM 514.570312 1712790953.1119
MEM 524.355469 1712790953.2422
MEM 521.101562 1712790953.3847
MEM 532.574219 1712790953.5200
MEM 532.414062 1712790953.6550
MEM 534.972656 1712790953.7848
MEM 543.078125 1712790953.9263
MEM 546.195312 1712790954.0491
