CMDLINE C:\ProgramData\anaconda3\envs\torch_env\python.exe main_googlenet.py
MEM 1.296875 1714214652.0542
MEM 22.980469 1714214652.1564
MEM 132.457031 1714214652.2594
MEM 165.156250 1714214652.3620
MEM 184.085938 1714214652.4649
MEM 194.636719 1714214652.5676
MEM 224.921875 1714214652.6705
MEM 240.175781 1714214652.7739
MEM 252.355469 1714214652.8765
MEM 259.425781 1714214652.9789
MEM 265.511719 1714214653.0817
MEM 276.820312 1714214653.1845
MEM 288.250000 1714214653.2874
MEM 298.609375 1714214653.3897
MEM 308.500000 1714214653.4922
MEM 315.500000 1714214653.5950
MEM 323.582031 1714214653.6974
MEM 329.113281 1714214653.8005
MEM 340.070312 1714214653.9029
MEM 351.828125 1714214654.0051
MEM 367.113281 1714214654.1083
MEM 375.558594 1714214654.2106
MEM 385.097656 1714214654.3134
MEM 397.910156 1714214654.4166
MEM 405.800781 1714214654.5195
MEM 411.527344 1714214654.6218
MEM 418.226562 1714214654.7241
MEM 423.441406 1714214654.8264
MEM 458.750000 1714214654.9894
MEM 452.507812 1714214655.1351
MEM 460.886719 1714214655.2751
MEM 471.726562 1714214655.4121
MEM 472.875000 1714214655.5493
MEM 473.457031 1714214655.6899
MEM 482.187500 1714214655.8332
MEM 473.675781 1714214655.9408
MEM 481.792969 1714214656.0631
MEM 486.093750 1714214656.1992
MEM 488.085938 1714214656.3320
MEM 485.906250 1714214656.4701
MEM 500.222656 1714214656.6065
MEM 491.574219 1714214656.7508
MEM 498.382812 1714214656.8841
MEM 496.335938 1714214657.0233
MEM 496.007812 1714214657.1621
MEM 499.468750 1714214657.3016
MEM 506.382812 1714214657.4448
MEM 505.824219 1714214657.5672
MEM 508.125000 1714214657.6962
MEM 517.375000 1714214657.8352
MEM 517.617188 1714214658.0141
MEM 525.460938 1714214658.1378
MEM 523.050781 1714214658.2845
MEM 524.312500 1714214658.4347
MEM 526.683594 1714214658.5839
MEM 526.074219 1714214658.7049
MEM 523.074219 1714214658.8345
MEM 529.183594 1714214658.9778
MEM 542.324219 1714214659.1446
MEM 538.816406 1714214659.2812
MEM 547.023438 1714214659.4022
MEM 539.007812 1714214659.5357
MEM 540.625000 1714214659.6794
MEM 547.457031 1714214659.8125
MEM 542.085938 1714214659.9381
MEM 553.765625 1714214660.0759
MEM 548.574219 1714214660.1971
MEM 544.054688 1714214660.3314
MEM 558.609375 1714214660.4551
MEM 560.914062 1714214660.5942
MEM 558.156250 1714214660.7264
MEM 563.742188 1714214660.8608
MEM 558.640625 1714214660.9874
MEM 567.097656 1714214661.1165
MEM 572.558594 1714214661.2435
MEM 573.531250 1714214661.4255
MEM 577.335938 1714214661.5590
MEM 575.257812 1714214661.6951
MEM 582.929688 1714214661.8266
MEM 598.191406 1714214661.9308
MEM 585.210938 1714214662.0711
MEM 581.847656 1714214662.1797
MEM 583.230469 1714214662.3061
MEM 585.367188 1714214662.4261
MEM 587.972656 1714214662.6015
MEM 600.484375 1714214662.7526
MEM 595.035156 1714214662.8954
MEM 596.425781 1714214663.0087
MEM 598.101562 1714214663.1438
MEM 603.980469 1714214663.2636
MEM 605.648438 1714214663.4187
MEM 608.882812 1714214663.5644
MEM 607.878906 1714214663.7105
MEM 615.058594 1714214663.8483
MEM 624.726562 1714214663.9770
MEM 622.285156 1714214664.1210
MEM 624.710938 1714214664.2640
MEM 628.777344 1714214664.4436
MEM 632.507812 1714214664.5924
MEM 622.894531 1714214664.7262
MEM 632.652344 1714214664.8476
MEM 634.933594 1714214664.9878
MEM 639.824219 1714214665.1280
MEM 636.324219 1714214665.2570
MEM 637.027344 1714214665.3949
MEM 643.316406 1714214665.5286
MEM 650.664062 1714214665.6583
MEM 651.171875 1714214665.7895
MEM 658.214844 1714214665.9338
MEM 657.816406 1714214666.0638
MEM 659.945312 1714214666.2053
MEM 655.757812 1714214666.3522
MEM 664.687500 1714214666.4843
MEM 654.457031 1714214666.6246
MEM 668.894531 1714214666.7562
MEM 665.339844 1714214666.8930
MEM 677.265625 1714214667.0508
MEM 661.296875 1714214667.2000
MEM 668.257812 1714214667.3360
MEM 673.003906 1714214667.4571
MEM 684.519531 1714214667.5669
MEM 673.902344 1714214667.7065
MEM 679.582031 1714214667.8235
MEM 681.980469 1714214667.9596
MEM 681.199219 1714214668.1160
MEM 689.738281 1714214668.2421
MEM 678.277344 1714214668.3785
MEM 686.484375 1714214668.4959
MEM 692.921875 1714214668.6470
MEM 711.390625 1714214668.7662
MEM 702.085938 1714214668.8917
MEM 702.632812 1714214669.0443
MEM 700.039062 1714214669.1801
MEM 704.746094 1714214669.3152
MEM 713.308594 1714214669.4346
MEM 705.765625 1714214669.5434
MEM 711.296875 1714214669.6789
MEM 707.070312 1714214669.8034
MEM 710.585938 1714214669.9297
MEM 712.972656 1714214670.0689
MEM 721.265625 1714214670.2193
MEM 720.238281 1714214670.3355
MEM 736.207031 1714214670.4700
MEM 726.781250 1714214670.5793
MEM 727.417969 1714214670.7091
MEM 733.707031 1714214670.8140
MEM 731.488281 1714214670.9328
MEM 733.976562 1714214671.0842
MEM 730.421875 1714214671.1936
MEM 738.785156 1714214671.3439
MEM 739.828125 1714214671.4734
MEM 744.816406 1714214671.5968
MEM 750.464844 1714214671.7114
MEM 750.917969 1714214671.8699
MEM 755.085938 1714214672.0249
MEM 757.445312 1714214672.1715
MEM 749.097656 1714214672.2958
MEM 763.390625 1714214672.4300
MEM 764.882812 1714214672.5612
MEM 769.179688 1714214672.6737
MEM 761.820312 1714214672.8058
MEM 764.429688 1714214672.9406
MEM 782.425781 1714214673.0560
MEM 775.265625 1714214673.1879
MEM 774.488281 1714214673.3188
MEM 783.714844 1714214673.4502
MEM 786.722656 1714214673.5805
MEM 781.593750 1714214673.6886
MEM 778.578125 1714214673.8055
MEM 790.507812 1714214673.9229
MEM 783.949219 1714214674.0296
MEM 787.375000 1714214674.1398
MEM 793.585938 1714214674.2715
MEM 790.253906 1714214674.3986
MEM 792.738281 1714214674.5109
MEM 786.585938 1714214674.6191
MEM 790.824219 1714214674.7368
MEM 809.343750 1714214674.8664
MEM 793.589844 1714214675.0039
MEM 801.265625 1714214675.1306
MEM 805.871094 1714214675.2480
MEM 787.375000 1714214675.3501
MEM 775.980469 1714214675.4534
MEM 796.582031 1714214675.5746
MEM 809.230469 1714214675.6887
MEM 805.343750 1714214675.8131
MEM 807.199219 1714214675.9499
MEM 813.535156 1714214676.0584
MEM 810.929688 1714214676.1650
MEM 813.535156 1714214676.2821
MEM 807.121094 1714214676.4071
MEM 813.531250 1714214676.5154
MEM 821.148438 1714214676.6466
MEM 815.011719 1714214676.7524
MEM 821.757812 1714214676.8826
MEM 833.132812 1714214677.0040
MEM 843.269531 1714214677.1261
MEM 831.570312 1714214677.2360
MEM 831.910156 1714214677.3498
MEM 840.281250 1714214677.4667
MEM 827.597656 1714214677.6196
MEM 849.136719 1714214677.7541
MEM 845.570312 1714214677.8743
MEM 848.265625 1714214677.9806
MEM 844.574219 1714214678.0893
