CMDLINE C:\ProgramData\anaconda3\envs\torch_env\python.exe main_googlenet.py
MEM 1.320312 1714383106.8842
MEM 22.746094 1714383106.9873
MEM 151.332031 1714383107.0898
MEM 173.136719 1714383107.1925
MEM 186.773438 1714383107.2952
MEM 203.398438 1714383107.3979
MEM 231.265625 1714383107.5003
MEM 249.710938 1714383107.6025
MEM 255.542969 1714383107.7053
MEM 264.335938 1714383107.8080
MEM 272.375000 1714383107.9107
MEM 287.371094 1714383108.0135
MEM 296.105469 1714383108.1159
MEM 305.359375 1714383108.2192
MEM 314.710938 1714383108.3219
MEM 321.222656 1714383108.4247
MEM 326.457031 1714383108.5274
MEM 334.460938 1714383108.6299
MEM 348.121094 1714383108.7327
MEM 357.644531 1714383108.8349
MEM 374.242188 1714383108.9377
MEM 381.816406 1714383109.0404
MEM 387.855469 1714383109.1427
MEM 401.539062 1714383109.2451
MEM 407.601562 1714383109.3478
MEM 411.875000 1714383109.4506
MEM 419.457031 1714383109.5536
MEM 423.671875 1714383109.6560
MEM 446.929688 1714383109.8314
MEM 459.312500 1714383109.9910
MEM 468.609375 1714383110.1293
MEM 464.300781 1714383110.2649
MEM 476.824219 1714383110.4096
MEM 481.140625 1714383110.5562
MEM 483.484375 1714383110.7068
MEM 478.285156 1714383110.8384
MEM 489.410156 1714383110.9970
MEM 490.683594 1714383111.1346
MEM 504.296875 1714383111.2673
MEM 503.167969 1714383111.4468
MEM 492.765625 1714383111.5774
MEM 500.015625 1714383111.7001
MEM 496.722656 1714383111.8328
MEM 500.597656 1714383111.9794
MEM 508.167969 1714383112.1121
MEM 506.914062 1714383112.2593
MEM 511.238281 1714383112.4059
MEM 513.722656 1714383112.5665
MEM 514.125000 1714383112.6971
MEM 509.054688 1714383112.8218
MEM 513.191406 1714383112.9873
MEM 521.312500 1714383113.1200
MEM 528.007812 1714383113.2536
MEM 520.542969 1714383113.4102
MEM 536.457031 1714383113.5608
MEM 532.015625 1714383113.7084
MEM 531.988281 1714383113.8341
MEM 541.593750 1714383113.9687
MEM 546.351562 1714383114.1143
MEM 537.953125 1714383114.2380
MEM 544.210938 1714383114.3676
MEM 540.101562 1714383114.4853
MEM 548.371094 1714383114.6688
MEM 541.238281 1714383114.8104
MEM 545.554688 1714383114.9880
MEM 556.984375 1714383115.1442
MEM 561.574219 1714383115.2748
MEM 558.390625 1714383115.4194
MEM 575.343750 1714383115.5272
MEM 555.488281 1714383115.6738
MEM 564.156250 1714383115.8164
MEM 569.382812 1714383115.9730
MEM 569.667969 1714383116.0887
MEM 573.023438 1714383116.2253
MEM 571.546875 1714383116.3539
MEM 574.089844 1714383116.5006
MEM 583.554688 1714383116.6352
MEM 590.640625 1714383116.7825
MEM 583.742188 1714383116.9120
MEM 591.535156 1714383117.0616
MEM 591.847656 1714383117.2052
MEM 589.484375 1714383117.3398
MEM 593.132812 1714383117.4765
MEM 598.109375 1714383117.6291
MEM 603.671875 1714383117.7607
MEM 596.878906 1714383117.8784
MEM 603.847656 1714383118.0130
MEM 598.011719 1714383118.1519
MEM 605.113281 1714383118.2853
MEM 610.378906 1714383118.4197
MEM 608.828125 1714383118.5693
MEM 615.375000 1714383118.7129
MEM 617.242188 1714383118.8606
MEM 620.726562 1714383118.9782
MEM 626.496094 1714383119.1228
MEM 621.757812 1714383119.2565
MEM 631.433594 1714383119.4101
MEM 628.632812 1714383119.5477
MEM 643.750000 1714383119.6804
MEM 635.742188 1714383119.8120
MEM 636.964844 1714383119.9387
MEM 639.585938 1714383120.0633
MEM 642.832031 1714383120.2189
MEM 640.515625 1714383120.3565
MEM 642.871094 1714383120.4992
MEM 645.199219 1714383120.6328
MEM 644.449219 1714383120.7784
MEM 648.550781 1714383120.8981
MEM 658.238281 1714383121.0367
MEM 661.269531 1714383121.1573
MEM 655.730469 1714383121.2760
MEM 650.046875 1714383121.4057
MEM 658.546875 1714383121.5393
MEM 667.015625 1714383121.6600
MEM 657.441406 1714383121.7747
MEM 674.097656 1714383121.9093
MEM 676.917969 1714383122.0160
MEM 673.566406 1714383122.1447
MEM 682.082031 1714383122.3452
MEM 676.972656 1714383122.4878
MEM 670.781250 1714383122.6334
MEM 683.914062 1714383122.7750
MEM 675.492188 1714383122.8927
MEM 681.000000 1714383123.0074
MEM 696.980469 1714383123.1251
MEM 690.570312 1714383123.2926
MEM 687.480469 1714383123.4033
MEM 691.609375 1714383123.5130
MEM 694.390625 1714383123.6417
MEM 698.675781 1714383123.7674
MEM 685.019531 1714383123.8701
MEM 681.226562 1714383123.9728
MEM 697.902344 1714383124.0811
MEM 701.457031 1714383124.1848
MEM 704.453125 1714383124.2995
MEM 704.730469 1714383124.4192
MEM 689.402344 1714383124.5229
MEM 707.843750 1714383124.6326
MEM 706.339844 1714383124.7583
MEM 700.343750 1714383124.8929
MEM 709.140625 1714383125.0126
MEM 714.503906 1714383125.1213
MEM 722.230469 1714383125.2270
MEM 712.527344 1714383125.3647
MEM 707.968750 1714383125.4674
MEM 722.050781 1714383125.5910
MEM 722.203125 1714383125.7157
MEM 703.855469 1714383125.8184
MEM 722.570312 1714383125.9471
MEM 725.820312 1714383126.0688
MEM 735.386719 1714383126.1974
MEM 724.433594 1714383126.3091
MEM 711.992188 1714383126.4118
MEM 727.105469 1714383126.5365
MEM 735.515625 1714383126.6572
MEM 772.503906 1714383126.7604
MEM 732.691406 1714383126.8632
MEM 736.062500 1714383126.9898
MEM 732.941406 1714383127.1147
MEM 745.175781 1714383127.2324
MEM 746.828125 1714383127.3700
MEM 741.132812 1714383127.4727
MEM 742.902344 1714383127.5924
MEM 752.195312 1714383127.7151
MEM 739.976562 1714383127.8447
MEM 751.832031 1714383128.0103
MEM 739.316406 1714383128.1130
MEM 753.390625 1714383128.2446
MEM 752.031250 1714383128.3719
MEM 761.988281 1714383128.5066
MEM 758.988281 1714383128.6252
MEM 753.531250 1714383128.7280
MEM 756.132812 1714383128.8486
MEM 775.582031 1714383128.9913
MEM 769.437500 1714383129.1038
MEM 765.019531 1714383129.2225
MEM 768.488281 1714383129.3253
MEM 775.914062 1714383129.4670
MEM 786.164062 1714383129.5857
MEM 774.394531 1714383129.6885
MEM 775.183594 1714383129.8071
MEM 776.804688 1714383129.9188
MEM 789.042969 1714383130.0266
MEM 785.011719 1714383130.1585
MEM 789.746094 1714383130.2732
MEM 777.003906 1714383130.4058
MEM 782.953125 1714383130.5475
MEM 802.652344 1714383130.6751
MEM 792.542969 1714383130.7838
MEM 781.062500 1714383130.8975
MEM 783.328125 1714383131.0286
MEM 787.691406 1714383131.1353
MEM 784.812500 1714383131.2380
MEM 783.281250 1714383131.3405
MEM 779.433594 1714383131.4438
MEM 806.464844 1714383131.5613
MEM 794.347656 1714383131.6660
MEM 799.839844 1714383131.8138
MEM 800.972656 1714383131.9285
MEM 811.285156 1714383132.0771
MEM 809.707031 1714383132.1958
MEM 803.613281 1714383132.2985
MEM 809.851562 1714383132.4052
MEM 816.933594 1714383132.5189
MEM 811.191406 1714383132.6316
MEM 823.472656 1714383132.7656
MEM 808.953125 1714383132.8792
MEM 806.121094 1714383132.9820
MEM 818.144531 1714383133.1046
MEM 821.488281 1714383133.2283
MEM 815.046875 1714383133.3340
MEM 820.683594 1714383133.4447
MEM 831.007812 1714383133.5614
MEM 829.570312 1714383133.6970
MEM 831.019531 1714383133.8267
MEM 823.812500 1714383133.9304
MEM 836.156250 1714383134.0580
MEM 838.304688 1714383134.1787
MEM 832.574219 1714383134.3073
MEM 846.742188 1714383134.4220
MEM 841.136719 1714383134.5297
MEM 844.679688 1714383134.6366
MEM 841.785156 1714383134.7732
MEM 838.574219 1714383134.8760
MEM 839.687500 1714383134.9986
MEM 858.644531 1714383135.1452
MEM 839.539062 1714383135.2479
MEM 861.207031 1714383135.3576
MEM 854.566406 1714383135.4763
MEM 867.367188 1714383135.6119
MEM 863.140625 1714383135.7276
MEM 848.527344 1714383135.8304
MEM 855.351562 1714383135.9401
MEM 866.277344 1714383136.0508
MEM 863.867188 1714383136.1537
MEM 862.460938 1714383136.2624
MEM 842.398438 1714383136.3655
MEM 1155.808594 1714383136.4682
MEM 1155.816406 1714383136.5709
MEM 1155.816406 1714383136.6736
MEM 1155.816406 1714383136.7759
MEM 1155.839844 1714383136.8786
MEM 1155.839844 1714383136.9814
MEM 858.546875 1714383137.0841
MEM 1059.332031 1714383137.1868
MEM 1253.949219 1714383137.2895
MEM 1461.375000 1714383137.3923
MEM 1667.273438 1714383137.4950
MEM 1873.300781 1714383137.5978
MEM 2075.945312 1714383137.7004
MEM 2274.437500 1714383137.8032
MEM 2480.945312 1714383137.9059
MEM 2685.914062 1714383138.0087
MEM 3095.671875 1714383138.1114
MEM 3592.261719 1714383138.2141
MEM 4071.359375 1714383138.3174
MEM 4617.546875 1714383138.4201
MEM 3708.914062 1714383138.5229
MEM 2784.062500 1714383138.6276
MEM 3272.687500 1714383138.7333
MEM 3526.660156 1714383138.8370
MEM 1980.660156 1714383138.9408
MEM 1768.312500 1714383139.0435
MEM 1768.316406 1714383139.1467
MEM 1768.316406 1714383139.2495
MEM 1768.316406 1714383139.3522
MEM 1768.316406 1714383139.4559
MEM 1768.316406 1714383139.5596
MEM 1768.316406 1714383139.6633
MEM 1768.316406 1714383139.7661
MEM 1768.316406 1714383139.8688
MEM 1768.316406 1714383139.9715
MEM 1768.316406 1714383140.0752
MEM 2550.039062 1714383140.1820
MEM 2725.824219 1714383140.2887
MEM 2282.750000 1714383140.3914
MEM 1831.472656 1714383140.4951
MEM 1804.589844 1714383140.5979
MEM 2007.722656 1714383140.7006
MEM 2305.984375 1714383140.8033
MEM 2288.960938 1714383140.9090
MEM 1956.679688 1714383141.0117
MEM 1956.679688 1714383141.1155
MEM 2148.089844 1714383141.2272
MEM 1992.703125 1714383141.3299
MEM 2065.542969 1714383141.4336
MEM 2146.500000 1714383141.5363
MEM 2266.617188 1714383141.6391
MEM 2357.753906 1714383141.7418
MEM 2485.710938 1714383141.8445
MEM 2607.164062 1714383141.9472
MEM 2728.246094 1714383142.0500
MEM 2864.875000 1714383142.1533
MEM 2959.433594 1714383142.2560
MEM 3077.492188 1714383142.3588
MEM 3194.605469 1714383142.4625
MEM 3318.605469 1714383142.5652
MEM 3441.363281 1714383142.6689
MEM 3572.609375 1714383142.7717
MEM 3701.722656 1714383142.8744
MEM 3825.656250 1714383142.9771
MEM 3956.500000 1714383143.0798
MEM 4081.316406 1714383143.1826
MEM 4197.460938 1714383143.2853
MEM 4313.605469 1714383143.3890
MEM 4410.683594 1714383143.4918
MEM 4497.656250 1714383143.5945
MEM 4651.160156 1714383143.6972
MEM 4717.230469 1714383143.7999
MEM 4822.359375 1714383143.9026
MEM 4928.437500 1714383144.0054
MEM 5031.742188 1714383144.1081
MEM 5088.875000 1714383144.2108
MEM 5092.902344 1714383144.3136
MEM 5178.398438 1714383144.4160
MEM 5242.140625 1714383144.5187
MEM 5247.675781 1714383144.6214
MEM 5250.910156 1714383144.7237
MEM 5250.914062 1714383144.8265
MEM 5250.917969 1714383144.9292
MEM 5250.921875 1714383145.0327
MEM 5250.925781 1714383145.1349
MEM 5250.929688 1714383145.2377
MEM 5250.929688 1714383145.3404
MEM 5250.929688 1714383145.4431
MEM 5250.929688 1714383145.5458
MEM 5254.070312 1714383145.6486
MEM 5250.929688 1714383145.7513
MEM 5250.929688 1714383145.8540
MEM 5250.929688 1714383145.9567
MEM 5250.929688 1714383146.0595
MEM 5250.933594 1714383146.1622
MEM 5250.933594 1714383146.2649
MEM 5250.933594 1714383146.3676
MEM 5250.933594 1714383146.4704
MEM 5250.933594 1714383146.5731
MEM 5250.933594 1714383146.6758
MEM 5250.933594 1714383146.7801
MEM 5250.933594 1714383146.8828
MEM 5250.933594 1714383146.9855
MEM 5250.933594 1714383147.0882
MEM 5250.937500 1714383147.1910
MEM 5250.937500 1714383147.2937
MEM 5250.937500 1714383147.3964
MEM 5250.937500 1714383147.4992
MEM 5250.937500 1714383147.6019
MEM 5250.937500 1714383147.7046
MEM 5250.937500 1714383147.8073
MEM 5250.937500 1714383147.9101
MEM 5250.937500 1714383148.0128
MEM 5250.937500 1714383148.1160
MEM 5250.937500 1714383148.2188
MEM 5250.937500 1714383148.3215
MEM 5250.937500 1714383148.4252
MEM 5250.937500 1714383148.5279
MEM 5250.937500 1714383148.6306
MEM 5250.937500 1714383148.7334
MEM 5250.941406 1714383148.8371
MEM 5250.941406 1714383148.9398
MEM 5250.941406 1714383149.0435
MEM 5250.941406 1714383149.1463
MEM 5250.941406 1714383149.2490
MEM 5250.941406 1714383149.3517
MEM 5250.941406 1714383149.4554
MEM 5250.941406 1714383149.5582
MEM 5250.941406 1714383149.6609
MEM 5250.941406 1714383149.7636
MEM 5250.941406 1714383149.8663
MEM 5250.941406 1714383149.9691
MEM 5250.941406 1714383150.0726
MEM 5250.941406 1714383150.1753
MEM 5250.941406 1714383150.2781
MEM 5250.941406 1714383150.3808
MEM 5250.941406 1714383150.4835
MEM 5250.941406 1714383150.5862
MEM 5250.941406 1714383150.6890
MEM 5250.941406 1714383150.7917
MEM 5250.941406 1714383150.8944
MEM 5250.941406 1714383150.9972
MEM 5250.941406 1714383151.1004
MEM 5250.941406 1714383151.2031
MEM 5250.941406 1714383151.3059
MEM 5250.941406 1714383151.4086
MEM 5250.941406 1714383151.5123
MEM 5250.941406 1714383151.6150
MEM 5257.070312 1714383151.7178
MEM 5250.941406 1714383151.8205
MEM 5250.941406 1714383151.9232
MEM 5250.941406 1714383152.0259
MEM 5250.941406 1714383152.1287
MEM 5250.941406 1714383152.2314
MEM 5250.941406 1714383152.3341
MEM 5250.941406 1714383152.4368
MEM 5250.941406 1714383152.5396
MEM 5250.941406 1714383152.6423
